CODENTID,CODPROGR,CODCUENT,DESCCCUE,FECULTEX,CODULTEX,INDBLQAC,INDBLQRD,FECHALTA,FECHBAJA,FECHACTI,OBSCUENT,CHEQDATA,IDCLIENT,TIPIDCLI,NOMBREID,APELLID1,APELLID2,CONTCANJ
0001    ,GENECLAS,00010003000003211629,ALEJANDRA  RINCON   ,20180828,10,0,0,20171101,        ,20171101,ALTA AUTOMATICA (B)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,2018-08-28-10.46.49.513288,412619537           ,C ,                              ,                    ,                    ,101860
0001    ,GENECLAS,00010003000003211631,MARIANA  RIVERA     ,20180828,10,0,0,20171101,        ,20171101,ALTA AUTOMATICA (B)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,2018-08-28-10.46.50.055153,946611646           ,C ,                              ,                    ,                    ,101858
0001    ,GENERORO,00010003000003211628,SHAUNA RICHIE TOKICH,20180828,10,1,1,20171101,        ,20171101,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2018-08-28-10.46.54.898105,79264718            ,C ,                              ,                    ,                    ,101859
0001    ,AMEXGOLD,00010003000003206519,PRUEBA  JUMP        ,20180828,11,0,0,20171013,        ,20171013,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2018-08-28-10.46.46.873467,3124238900          ,C ,                              ,                    ,                    ,0
0001    ,GENERORO,00010003000003206628,KENDALL LUIS WIEDERS,20180828,11,0,0,20171013,        ,20171013,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2018-08-28-10.46.54.206687,41738796            ,C ,                              ,                    ,                    ,0
0001    ,AMEXGOLD,00010003000003206175,SARA  PERALTA       ,20180828,11,0,0,20171013,        ,20171013,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2018-08-28-10.46.46.824123,13432814            ,C ,                              ,                    ,                    ,0
0001    ,AMEXGOLD,00010003000003206177,PAULA  ACERO        ,20180828,11,0,0,20171013,        ,20171013,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2018-08-28-10.46.46.815165,74922835            ,C ,                              ,                    ,                    ,0
0001    ,AMEXGOLD,00010003000003206190,CAMILA  VILLAMIZAR  ,20180828,11,0,0,20171013,        ,20171013,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2018-08-28-10.46.46.685121,68715312            ,C ,                              ,                    ,                    ,0
0001    ,AMEXGOLD,00010003000003206162,Elyse  Stemme Burdel,20180828,13,0,0,20170927,        ,20170927,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2018-08-28-10.46.46.676201,19213617            ,C ,                              ,                    ,                    ,101855
0001    ,AMEXGOLD,00010003000003206625,THOMAS  CONTRERAS   ,20180828,13,0,0,20170927,        ,20170927,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2018-08-28-10.46.46.791610,44993109            ,C ,                              ,                    ,                    ,101836
0001    ,GENERORO,00010003000003206626,Reece Rakeem Legleu ,20180828,11,0,0,20170929,        ,20170929,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2018-08-28-10.46.54.869468,35529818            ,C ,                              ,                    ,                    ,0
0001    ,AMEXGOLD,00010003000003206164,Latoya Harold Bodnar,        ,0,1,1,20170920,20170925,20170920, CANCELADA POR BLOQUEO CANCELATORIO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,2017-09-25-14.04.14.674474,19354559            ,C ,                              ,                    ,                    ,0
0001    ,AMEXGOLD,00010003000003206165,Kirstin Amber Weathe,        ,0,1,1,20170920,20170922,20170920, CANCELADA POR BLOQUEO CANCELATORIO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,2017-09-22-20.08.11.085798,19448663            ,C ,                              ,                    ,                    ,0
0001    ,GENEPLAT,00010003000003206407,Natasha Sylvia Fuent,20180828,12,0,0,20170912,        ,20170912,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2018-08-28-10.46.51.135258,46360210            ,C ,                              ,                    ,                    ,0
0001    ,GENERORO,00010003000003206409,PRUEBA  JUMP        ,20180828,12,0,0,20170912,        ,20170912,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2018-08-28-10.46.54.770086,3103382801          ,C ,                              ,                    ,                    ,101840
0001    ,GENEREMP,00010003000004023200,Jenae Willow Dipietr,20180820,15,0,0,20170816,        ,20170816,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2018-08-21-07.37.28.535937,79285123            ,C ,                              ,                    ,                    ,0
0001    ,GENEREMP,00010003000004023522,Dallas  Lynch Soroka,20180820,15,0,0,20170816,        ,20170816,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2018-08-21-07.37.27.325501,80495819            ,C ,                              ,                    ,                    ,0
0001    ,GENEREMP,00010003000004023182,Johnny  Scaturro Co ,20180820,15,0,0,20170816,        ,20170816,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2018-08-21-07.37.28.784231,79457657            ,C ,                              ,                    ,                    ,0
0001    ,AMEXGOLD,00010003000003204970,JARVIS WYATT GULKE F,20180828,11,0,0,20171018,        ,20171018,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2018-08-28-10.46.46.745583,79276338            ,C ,                              ,                    ,                    ,0
0001    ,GENEREMP,00010003000004024306,Krupa  Upchurch Siri,20180820,15,0,0,20170816,        ,20170816,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2018-08-21-07.37.28.580394,79057686            ,C ,                              ,                    ,                    ,0
0001    ,GENEREMP,00010003000004024756,Baylee  Primeaux Fer,20180820,15,0,0,20170816,        ,20170816,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2018-08-21-07.37.26.914344,28427981            ,C ,                              ,                    ,                    ,0
0001    ,AMEXGOLD,00010003000000152612,TOREY TOREY BERNI De,20180828,13,1,1,20170925,        ,20170925,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2018-08-28-10.46.46.917576,51813497            ,C ,                              ,                    ,                    ,0
0001    ,AMEXGOLD,00010014000003206122,PEDRO AGUSTIN PARRA ,20180828,15,0,0,20170721,        ,20170721,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2018-08-28-10.46.46.767744,2104445             ,C ,                              ,                    ,                    ,0
0001    ,GENECLAS,00010003000000152612,TOREY TOREY BERNI De,20180828,12,1,1,20170925,        ,20170925,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2018-08-28-10.46.50.708238,51813497            ,C ,                              ,                    ,                    ,0
0001    ,GENECLAS,00010014000003211892,KAYLIN JAN GAUT MEGE,20180828,10,0,0,20171122,        ,20171122,ALTA AUTOMATICA (B)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,2018-08-28-10.46.50.348196,5903227             ,C ,                              ,                    ,                    ,0
0001    ,GENECLAS,00010014000003211893,MONA ROWAN HOERNER  ,20180828,10,0,0,20171122,        ,20171122,ALTA AUTOMATICA (B)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,2018-08-28-10.46.50.650838,53002361            ,C ,                              ,                    ,                    ,0
0001    ,GENECLAS,00010014000003211894,ANTONY SNEYDER ACEVE,20180828,10,1,1,20171122,        ,20171122,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2018-08-28-10.46.49.903539,1016047716          ,C ,                              ,                    ,                    ,0
0001    ,GENERORO,00010014000003211896,SOMMER LANDIN ZENGER,20180828,10,1,1,20171122,        ,20171122,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2018-08-28-10.46.54.601509,8063436             ,C ,                              ,                    ,                    ,0
0001    ,GENERORO,00010014000003211897,DESTIANA SAM NOBIS  ,20180828,10,1,1,20171122,        ,20171122,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2018-08-28-10.46.54.026110,17336640            ,C ,                              ,                    ,                    ,0
0001    ,GENERORO,00010003000003211630,SANTIAGO  CARDENAS  ,20180828,10,1,1,20171101,        ,20171101,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2018-08-28-10.46.54.833598,738582128           ,C ,                              ,                    ,                    ,101857
0001    ,GENECLAS,00010014000003211843,HAKEEM YASMINE PFLIE,20180828,10,0,0,20171122,        ,20171122,ALTA AUTOMATICA (B)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,2018-08-28-10.46.49.840213,32460378            ,C ,                              ,                    ,                    ,0
0001    ,GENERORO,00010001000003211840,YEIMY Ralph CANO Bol,20180305,4,1,1,20171115,20180314,20171115, CANCELADA POR BLOQUEO CANCELATORIO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,2018-03-14-17.25.53.398959,1018411093          ,C ,                              ,                    ,                    ,0
0001    ,AMEXGOLD,00010003000003206628,KENDALL LUIS WIEDERS,20180828,13,0,0,20170914,        ,20170914,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2018-08-28-10.46.46.705736,41738796            ,C ,                              ,                    ,                    ,0
0001    ,AMEXGOLD,00010003000003206626,Reece Rakeem Legleu ,20180828,13,0,0,20170914,        ,20170914,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2018-08-28-10.46.46.781334,35529818            ,C ,                              ,                    ,                    ,0
0001    ,GENBLACK,00010003000003206307,PRUEBA  JUMP        ,20180828,13,0,0,20170818,        ,20170818,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2018-08-28-10.46.49.745219,3185976011          ,C ,                              ,                    ,                    ,0
0001    ,GENEREMP,00010003000004014247,Deanna Nathalie Sout,20180820,16,0,0,20170703,        ,20170703,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2018-08-21-07.37.27.400310,17157816            ,C ,                              ,                    ,                    ,0
0001    ,GENEREMP,00010003000004015117,AVERY RANDY URBINA S,20180820,16,0,0,20170703,        ,20170703,ALTA AUTOMATICA (B)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,2018-08-21-07.37.26.955807,79374984            ,C ,                              ,                    ,                    ,0
0001    ,GENEREMP,00010206000004013903,                    ,20180820,16,0,0,20170703,        ,20170703,ALTA AUTOMATICA (B)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,2018-08-21-07.37.26.874793,PENDIENTE           ,00,                              ,                    ,                    ,0
0001    ,GENECLAS,00010003000003206543,Carl Brooks Burrow G,20180528,8,1,1,20171018,20180614,20171018, CANCELADA POR BLOQUEO CANCELATORIO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,2018-06-14-10.20.59.216923,80092228            ,C ,                              ,                    ,                    ,0
0001    ,GENECLAS,00010003000003206561,PRUEBA  JUMP        ,20180528,8,1,1,20171018,20180615,20171018, CANCELADA POR BLOQUEO CANCELATORIO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,2018-06-15-11.51.48.311723,3124238908          ,C ,                              ,                    ,                    ,0
